,Return on Assets,Return on Equity
MITSIB,1.581,1.364
MJD,1.235,-0.478
MJLF,1.097,2.8110001
MK,0.082,-0.694
ML,3.0439999,6.0960002
MNRF,0.57300003,-0.126
MODERN,2.921,6.16
MONO,-2.982,-17.264
MOONG,1.7439999,8.642
MORE,-1.391,-10.832
MPIC,-1.606,-9.2980005
MSC,4.434,8.009
MTC,7.242,27.16
MTI,1.9299999,10.747
MUD,-1.5149999,-16.093001
MVP,-7.419,-28.699
OCC,0.447,1.238
OCEAN,8.209,16.414
OGC,0.518,-9.372
OHTL,-5.8000002,-40.221
OISHI,3.9330002,10.196
ORI,5.875,24.924
OSP,7.361,17.764
OTO,-0.982,-4.737
PACO,6.984,14.155
PAF,-1.446,13.584
PAP,7.269,15.927
PATO,9.721,15.581
PB,11.496,19.055
PCSGH,2.8169999,5.213
PDG,8.8149995,13.579
PDI,0.321,2.542
PDJ,-1.319,1.625
PE,1.783,0.525
PERM,7.6009996,23.528999
PF,-0.72000003,-11.757
PG,-2.1370001,-0.57800002
PHOL,8.665,20.438999
PICO,-4.8109997,-10.893
PIMO,7.46,15.836
PJW,3.701,11.1540005
PK,0.36000002,4.354
PL,1.608,2.5020001
PLANB,1.283,1.036
PLANET,1.879,0.59100003
PLAT,-1.028,-4.763
PLE,-1.097,-13.853
PM,12.3409994,26.493
PMTA,3.874,6.527
POLAR,-1.135,-15.308
POPF,6.497,7.881
PORT,2.033,3.88
PPF,4.4099998,7.882
PPM,0.844,1.825
PPP,1.186,2.419
PPPM,-2.9930001,-239.661
PPS,-2.2219999,-8.841
PR9,2.9760001,4.941
PRAKIT,1.526,2.569
PREB,2.4300002,8.4680006
PRECHA,-1.441,-3.551
PRG,0.153,7.432
PRIME,0.851,11.123
PRIN,3.426,6.979
PRINC,-2.0920001,-6.284
PRM,9.733,22.666
PROUD,-1.835,-6.115
PSH,2.717,5.6149997
PSL,1.353,-6.92
PSTC,1.175,-15.208
PT,7.0650004,20.973
PTG,4.948,28.865
PTL,10.86,21.035999
PTT,3.014,7.549
PTTEP,2.621,6.9180004
PTTGC,2.164,6.578
PYLON,4.405,8.786
Q-CON,3.869,5.6399997
QH,1.6,7.948
QHHR,1.397,1.115
QHPF,5.224,7.598
QLT,3.794,6.922
QTC,4.84,8.7840006
RAM,0.92400005,-1.719
RATCH,0.234,11.314999
RBF,7.902,10.909
RCI,3.8629998,6.791
RICHY,1.102,4.7420003
RJH,16.073,28.316998
RML,0.625,-8.309
ROCK,-3.532,-12.812
ROH,-15.018,-26.639
ROJNA,2.572,15.604
RP,-5.113,-12.928
RPC,-0.14200001,4.2779997
RPH,3.54,6.098
RS,7.814,24.733
RSP,1.556,2.629
RT,5.2249998,21.079001
RWI,1.395,26.806998
S,-1.9450001,-15.177
S-&-J,2.6770001,6.988
S11,7.039,16.676001
SAAM,5.377,8.673
SABINA,7.873,15.015
SALEE,-0.119,-0.075999997
SAM,0.55400003,-1.002
SAMART,-0.884,-12.033
SAMCO,1.72,3.644
SAMTEL,-2.8989999,-8.927
SANKO,-4.729,-19.081
SAPPE,8.613,14.049
SAT,3.35,6.813
SAUCE,14.308,21.112
SAWAD,10.0360006,22.097999
SAWANG,-6.9,-11.8190005
SBPF,-0.598,-31.427
SC,3.579,10.83
SCB,0.882,6.813
SCC,4.176,13.245
SCCC,4.3709997,12.557
SCG,2.806,6.289
SCI,0.957,-12.189999
SCM,10.503,18.351999
SCN,0.476,0.772
SCP,5.9809998,9.288
SDC,-1.936,-59.406
SE,2.656,9.1000006
SE-ED,0.14399999,-0.811
SEAFCO,2.4130002,4.5489997
SEAOIL,-1.2920001,-3.613
SELIC,5.4429997,19.226
SENA,4.671,16.194001
SF,5.3579997,14.643
SFLEX,7.9840004,16.412
SFP,-4.145,2.489
SFT,11.078,19.097
SGF,2.276,3.185
SGP,5.165,22.686
SHANG,-4.325,-14.706999
SHR,-3.9690003,-16.634001
SHREIT,-1.181,-19.477
SIAM,-0.944,1.773
SICT,6.922,13.324
SIMAT,4.091,8.767
SINGER,6.115,17.711
SIRI,1.749,4.978
SIS,6.4770006,23.797001
SISB,3.715,8.979
SITHAI,0.347,-1.8
SKE,1.472,3.006
SKN,4.7340002,8.979999
SKR,5.047,9.1630004
SKY,1.941,7.408
SLP,-1.507,-2.806
SMART,4.63,9.255
SMIT,4.587,7.498
SMK,3.532,11.5059994
SMPC,13.744001,29.939
SMT,4.4310004,12.764
SNC,3.695,12.4069996
SNP,5.129,11.894
SOLAR,-5.124,-74.775004
SONIC,7.278,13.643
SORKON,3.8310003,9.6949995
SPA,-6.4050004,-29.459998
SPACK,5.2849997,16.88
SPALI,5.074,11.577
SPC,3.4560002,7.484
SPCG,9.099,17.986
SPG,5.6339998,8.3500005
SPI,3.0250002,5.6599997
SPRC,6.553,15.277
SPRIME,3.717,11.802
SPVI,10.888,23.841
SQ,3.491,15.147
SR,-3.391,-11.89
SRICHA,8.529,15.3
SRIPANWA,4.198,4.4699997
SSC,-0.15700001,1.595
SSF,7.244,24.121
SSP,4.072,16.221
SSSC,1.5829999,2.934
SST,-0.322,-14.130001
SSTRT,3.859,6.534
STANLY,2.822,5.89
STAR,-55.487996,-168.25
STC,1.518,2.033
STEC,1.249,7.773
STI,11.587,27.103
STPI,-2.33,-13.4
SUC,1.905,5.039
SUN,9.205,20.601
SUPER,2.8619999,8.9549996
SUSCO,4.479,9.733
SVH,7.393,13.418001
SVI,3.7100002,15.65
SVOA,2.321,8.564
SWC,6.855,11.545999
SYMC,2.7579999,3.432
SYNEX,4.16,19.856001
SYNTEC,1.656,2.4549998
T,-11.132,-9.571999
TACC,14.062999,27.001
TAE,1.455,2.243
TAKUNI,3.1659998,6.0089998
TAPAC,0.821,0.806
TBSP,1.909,3.612
TC,6.3990004,11.4479996
TCAP,5.203,10.69
TCC,-1.164,-2.718
TCCC,10.276,17.723
TCJ,1.421,1.509
TCMC,1.084,0.393
TCOAT,1.427,2.467
TEAM,-1.477,-2.066
TEAMG,4.478,12.355
TFG,8.031,22.453
TFI,-4.547,1.968
TFMAMA,8.408,15.281
TGH,1.228,9.45
TGPRO,0.619,-0.439
TH,1.298,2.1259999
THANA,-1.028,-5.429
THANI,3.664,19.410999
THCOM,-0.347,3.864
THE,5.79,21.133
THG,0.042,-3.23
THIP,10.3719994,18.198
THMUI,-1.061,-4.579
THRE,2.8450001,8.068
THREL,3.669,8.686
TIF1,3.817,5.472
TIGER,4.484,6.899
TIP,3.67,26.552
TIPCO,-2.559,20.485
TISCO,2.2160001,15.4
TITLE,-2.636,-6.571
TK,4.479,6.954
TKN,4.356,10.3719994
TKS,1.007,11.3970004
TKT,-0.959,-8.513
TLHPF,3.96,2.358
TM,2.848,6.254
TMC,-2.665,-11.5480006
TMD,6.742,11.102
TMI,3.618,9.774999
TMILL,5.836,10.306
TMT,5.335,17.673999
TMW,2.227,2.48
TNDT,3.026,3.229
TNH,7.691,11.767
TNITY,5.843,19.233999
TNL,-1.678,0.322
TNP,11.2320006,20.134
TNPC,3.3800002,20.136999
TNPF,0.728,-17.84
TNR,5.35,13.646
TOA,9.703,18.391001
TOG,2.9649999,6.8969995
TOP,2.411,12.848
TOPP,4.8720002,8.796
TPA,5.664,10.543
TPAC,7.1279995,11.104
TPBI,2.9140001,6.507
TPCH,3.769,10.9689996
TPCS,0.477,3.197
TPIPL,2.785,6.856
TPIPP,7.38,15.843001
TPLAS,7.788,12.164
TPOLY,2.263,6.258
TPP,0.426,2.3359999
TPRIME,4.22,8.0740005
TPS,5.473,11.603
TQM,11.689,28.463
TR,-0.511,0.361
TRC,-9.345999,-98.34
TRITN,0.37200002,-0.8909999
TRT,2.021,3.368
TRU,-0.775,-1.521
TRUBB,0.769,-2.8499998
TRUE,1.186,0.632
TSC,3.677,7.893
TSE,0.843,7.251
TSI,-1.785,-12.629
TSR,7.1830004,11.9720004
TSTE,3,4.736
TSTH,3.82,6.6700004
TTA,-1.764,-16.122
TTB,0.47400002,4.302
TTCL,0.026,8.324
TTI,-1.306,-3.215
TTLPF,9.0900004,10.840999
TTT,-5.1020004,-7.774
TTW,10.0659996,21.759
TU,4.4099998,13.334
TVD,-3.059,0.57200002
TVO,13.136,20.872
TVT,0.522,-0.037999998
TWP,0.49900003,3.271
TWPC,1.238,1.765
TWZ,1.303,-0.294
TYCN,3.462,1.293
U,-3.1600002,-23.082
UAC,0.307,14.068
UBIS,9.409001,23.341
UEC,1.946,4.276
UKEM,4.132,7.909
UMI,-0.463,-7.274
UMS,-3.372,-44.109002
UNIQ,1.646,0.876
UOBKH,4.275,6.7150004
UP,-4.304,-4.3109998
UPA,-1.268,-2.8900001
UPF,10.078,18.123
UPOIC,7.403,13.674
URBNPF,3.935,-1.666
UREKA,-13.068,-40.624002
UT,0.39500003,1.036
UTP,17.657,27.65
UV,0.25799999,0.69700005
UVAN,7.761,11.525
VARO,-3.824,-13.322
VCOM,6.889,21.891001
VGI,0.034000003,6.0159996
VIBHA,2.0639999,5.3629998
VIH,6.881,13.838
VL,4.168,10.406999
VNG,-0.214,-4.522
VNT,7.5729996,12.014
VPO,0.556,0.678
VRANDA,0.46200003,-1.682
W,-7.57,-29.399002
WACOAL,-5.389,-8.0240004
WAVE,-2.893,-19.25
WHA,2.308,9.198
WHABT,3.479,7.67
WHART,3.282,7.4439995
WHAUP,0.80699995,7.241
WIIK,3.967,9.5249996
WIN,-6.415,-23.206
WINNER,5.625,11.133
WORK,3.337,5.0479997
WP,0.361,12.0179996
WPH,-1.193,-4.1729998
WR,-2.75,-19.365999
YGG,9.396,15.767999
YUASA,9.263,19.083
ZEN,0.77,0.695
ZIGA,7.337,18.221001
